https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GNO
1645315200000,2022-02-20 00:00:00,GNO/USD,339.63,342.02,320.88,325.15,1908.4808432094997,5.86953973
1645228800000,2022-02-19 00:00:00,GNO/USD,342.99,348.79,338.46,339.81,797.053408755,2.3455855
1645142400000,2022-02-18 00:00:00,GNO/USD,364.49,366.93,342.93,342.93,1143.1078691004,3.33335628
1645056000000,2022-02-17 00:00:00,GNO/USD,379.56,380.56,363.55,364.19,6211.398223077001,17.0553783
1644969600000,2022-02-16 00:00:00,GNO/USD,385.6,394.06,375.34,378.51,7183.656935261401,18.978777140000002
1644883200000,2022-02-15 00:00:00,GNO/USD,351.76,387.28,351.76,385.2,9978.523151184,25.90478492
1644796800000,2022-02-14 00:00:00,GNO/USD,339.33,383.22,333.83,351.24,66192.4168972404,188.45352721
1644710400000,2022-02-13 00:00:00,GNO/USD,330.93,344.06,330.93,339.81,1308.8643636312,3.85175352
1644624000000,2022-02-12 00:00:00,GNO/USD,337.6,337.6,328.71,331.38,2999.4608950613997,9.05142403
1644537600000,2022-02-11 00:00:00,GNO/USD,351.24,352.16,336.1,337.12,6422.0776411567995,19.04982689
1644451200000,2022-02-10 00:00:00,GNO/USD,358.54,359.94,348.42,352.0,7418.983147839999,21.07665667
1644364800000,2022-02-09 00:00:00,GNO/USD,339.54,360.41,334.36,358.7,2221.304304683,6.19265209
1644278400000,2022-02-08 00:00:00,GNO/USD,339.64,351.07,332.29,339.13,4901.6025307557,14.45346189
1644192000000,2022-02-07 00:00:00,GNO/USD,330.0,345.71,327.21,339.76,8692.8419034624,25.58524224
1644105600000,2022-02-06 00:00:00,GNO/USD,326.04,330.89,322.89,329.56,6161.473853273201,18.69606097
1644019200000,2022-02-05 00:00:00,GNO/USD,321.54,327.03,315.24,326.17,8645.5565668979,26.50628987
1643932800000,2022-02-04 00:00:00,GNO/USD,286.26,322.79,284.48,321.47,15166.898535632,47.1798256
1643846400000,2022-02-03 00:00:00,GNO/USD,284.55,288.65,274.54,285.18,41051.1962678202,143.94837039
1643760000000,2022-02-02 00:00:00,GNO/USD,294.81,297.46,280.75,284.96,9934.409382809601,34.86246976
1643673600000,2022-02-01 00:00:00,GNO/USD,285.34,301.53,283.38,294.58,18748.332299925798,63.64428101
1643587200000,2022-01-31 00:00:00,GNO/USD,277.56,287.84,267.8,285.02,18788.047393049197,65.91834745999999
1643500800000,2022-01-30 00:00:00,GNO/USD,277.55,281.56,271.68,277.08,3860.8263582432,13.93397704
1643414400000,2022-01-29 00:00:00,GNO/USD,270.3,282.32,270.02,277.81,29725.0101401318,106.99762478
1643328000000,2022-01-28 00:00:00,GNO/USD,258.88,271.77,251.75,270.67,10906.2184404609,40.29341427
1643241600000,2022-01-27 00:00:00,GNO/USD,270.37,287.17,250.92,259.09,40248.7610405088,155.34664032
1643155200000,2022-01-26 00:00:00,GNO/USD,264.05,288.53,260.17,269.92,31439.2452583552,116.47616056
1643068800000,2022-01-25 00:00:00,GNO/USD,263.35,272.43,255.27,264.08,27643.751894509598,104.67946037
1642982400000,2022-01-24 00:00:00,GNO/USD,268.75,269.4,223.07,263.42,79300.33378299621,301.04143111
1642896000000,2022-01-23 00:00:00,GNO/USD,241.81,271.45,238.16,268.45,49461.995150386,184.25030788
1642809600000,2022-01-22 00:00:00,GNO/USD,279.32,283.45,237.37,240.95,70265.8713716325,291.62013435
1642723200000,2022-01-21 00:00:00,GNO/USD,335.49,335.52,277.52,279.3,46613.302804089,166.89331473
1642636800000,2022-01-20 00:00:00,GNO/USD,329.97,349.02,326.95,335.87,58250.453398683094,173.43154613
1642550400000,2022-01-19 00:00:00,GNO/USD,337.55,337.55,320.84,329.5,36724.400986945,111.45493471
1642464000000,2022-01-18 00:00:00,GNO/USD,363.1,364.3,333.33,337.4,20962.704863296,62.13012704
1642377600000,2022-01-17 00:00:00,GNO/USD,389.66,389.84,361.09,365.05,2012.9215990170003,5.51409834
1642291200000,2022-01-16 00:00:00,GNO/USD,397.25,397.25,384.81,389.6,7889.389250936001,20.24997241
1642204800000,2022-01-15 00:00:00,GNO/USD,399.1,404.33,396.89,396.89,8700.5784934588,21.92188892
1642118400000,2022-01-14 00:00:00,GNO/USD,401.8,402.55,396.08,398.35,2861.8015834255,7.18413853
1642032000000,2022-01-13 00:00:00,GNO/USD,408.17,412.31,389.17,402.12,15771.579933614401,39.22107812
1641945600000,2022-01-12 00:00:00,GNO/USD,400.0,408.86,393.43,408.21,11308.3709173743,27.70233683
1641859200000,2022-01-11 00:00:00,GNO/USD,404.36,406.02,392.54,400.99,5638.1437659347,14.06055953
1641772800000,2022-01-10 00:00:00,GNO/USD,472.51,472.51,388.11,404.28,62831.551117143594,155.41592737
1641686400000,2022-01-09 00:00:00,GNO/USD,466.17,480.98,454.14,475.83,45070.421110759795,94.71958706
1641600000000,2022-01-08 00:00:00,GNO/USD,446.1,511.07,445.36,466.35,59914.62168593251,128.47565495
1641513600000,2022-01-07 00:00:00,GNO/USD,476.5,476.5,443.73,446.3,29624.925139534997,66.37894945
1641427200000,2022-01-06 00:00:00,GNO/USD,482.24,483.73,467.2,476.02,23949.754388761798,50.312496089999996
1641340800000,2022-01-05 00:00:00,GNO/USD,527.36,527.36,482.31,483.7,23395.162134365,48.367091450000004
1641254400000,2022-01-04 00:00:00,GNO/USD,503.96,534.15,503.22,526.82,10747.041032554402,20.39983492
1641168000000,2022-01-03 00:00:00,GNO/USD,517.61,519.3,499.03,503.92,6728.7873663128,13.35288809
1641081600000,2022-01-02 00:00:00,GNO/USD,527.59,527.88,511.8,517.87,23258.9858063885,44.91278855
1640995200000,2022-01-01 00:00:00,GNO/USD,529.46,537.24,520.55,527.4,25728.61770549,48.78387885
1640908800000,2021-12-31 00:00:00,GNO/USD,555.07,591.39,526.21,530.04,129589.571906466,244.49017415
1640822400000,2021-12-30 00:00:00,GNO/USD,482.83,567.56,478.54,556.55,107420.91955140099,193.01216342
1640736000000,2021-12-29 00:00:00,GNO/USD,427.07,524.35,412.99,482.03,114991.53102619598,238.5567932
1640649600000,2021-12-28 00:00:00,GNO/USD,458.84,458.84,426.14,427.5,3696.451155675,8.64666937
1640563200000,2021-12-27 00:00:00,GNO/USD,472.68,473.06,457.57,458.12,8193.919279920401,17.88596717
1640476800000,2021-12-26 00:00:00,GNO/USD,458.96,479.28,455.53,471.8,34520.214930726,73.16705157
1640390400000,2021-12-25 00:00:00,GNO/USD,445.91,461.61,438.64,458.35,70530.11999671001,153.8783026
1640304000000,2021-12-24 00:00:00,GNO/USD,453.27,465.54,444.89,445.03,22969.061632430497,51.61238935
1640217600000,2021-12-23 00:00:00,GNO/USD,443.83,454.2,430.62,454.2,4826.307443819999,10.6259521
1640131200000,2021-12-22 00:00:00,GNO/USD,454.84,459.03,443.02,443.02,5512.835618448,12.4437624
1640044800000,2021-12-21 00:00:00,GNO/USD,456.47,464.41,450.43,453.48,35522.223505788,78.3325031
1639958400000,2021-12-20 00:00:00,GNO/USD,445.88,474.85,431.33,456.0,213988.3428324,469.27268165
1639872000000,2021-12-19 00:00:00,GNO/USD,447.04,456.5,440.07,447.3,3921.241597119,8.76646903
1639785600000,2021-12-18 00:00:00,GNO/USD,436.7,457.15,433.23,448.44,33626.4679243032,74.98543378
1639699200000,2021-12-17 00:00:00,GNO/USD,446.19,465.28,421.0,438.85,43396.111506739006,98.88597814
1639612800000,2021-12-16 00:00:00,GNO/USD,454.57,470.42,446.04,446.26,17876.9561427198,40.05950823
1639526400000,2021-12-15 00:00:00,GNO/USD,399.05,462.89,391.57,455.12,152898.1874552344,335.95136987
1639440000000,2021-12-14 00:00:00,GNO/USD,366.98,398.7,351.13,398.7,60004.340435187005,150.49997601
1639353600000,2021-12-13 00:00:00,GNO/USD,445.0,445.47,362.18,367.16,34019.7728986056,92.65653366
1639267200000,2021-12-12 00:00:00,GNO/USD,451.41,458.94,425.34,445.04,45180.45893083201,101.5199958
1639180800000,2021-12-11 00:00:00,GNO/USD,414.14,479.61,408.54,452.37,40717.1937928698,90.00860754
1639094400000,2021-12-10 00:00:00,GNO/USD,446.38,451.66,414.14,414.14,35298.355487911394,85.23290551
1639008000000,2021-12-09 00:00:00,GNO/USD,431.08,466.29,424.95,447.87,32215.4067375342,71.93026266
1638921600000,2021-12-08 00:00:00,GNO/USD,425.87,432.1,414.99,431.08,1206.3220034632,2.79837154
