https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MKR
1644451200000,2022-02-10 00:00:00,MKR/USD,2249.7,2336.7,2090.0,2108.5,175148.984500335,83.06805051
1644364800000,2022-02-09 00:00:00,MKR/USD,2208.0,2271.0,2150.3,2247.6,53658.859955664004,23.87384764
1644278400000,2022-02-08 00:00:00,MKR/USD,2258.5,2315.8,2164.2,2207.4,107357.602763268,48.63531882
1644192000000,2022-02-07 00:00:00,MKR/USD,2251.6,2369.0,2197.9,2253.7,184917.803513861,82.05076253
1644105600000,2022-02-06 00:00:00,MKR/USD,2262.7,2300.7,2194.0,2248.7,35091.716926935,15.60533505
1644019200000,2022-02-05 00:00:00,MKR/USD,2277.8,2324.8,2234.8,2260.1,55340.309502117,24.48577917
1643932800000,2022-02-04 00:00:00,MKR/USD,2282.7,2359.1,2222.8,2281.7,202105.79942077797,88.57685034
1643846400000,2022-02-03 00:00:00,MKR/USD,2146.8,2332.4,2131.2,2293.7,468021.777388142,204.04663966
1643760000000,2022-02-02 00:00:00,MKR/USD,2198.8,2312.9,2102.1,2142.7,445198.7333628169,207.77464571
1643673600000,2022-02-01 00:00:00,MKR/USD,2130.7,2239.0,2130.4,2197.5,68799.94587135,31.30828026
1643587200000,2022-01-31 00:00:00,MKR/USD,2000.8,2144.5,1943.8,2140.0,511681.9166518,239.10369937
1643500800000,2022-01-30 00:00:00,MKR/USD,1954.6,2011.3,1922.4,1999.8,131326.239022704,65.66968648
1643414400000,2022-01-29 00:00:00,MKR/USD,1870.8,1960.5,1859.0,1951.1,199160.726746082,102.07612462
1643328000000,2022-01-28 00:00:00,MKR/USD,1770.6,1877.9,1734.9,1872.8,49318.28083411999,26.33398165
1643241600000,2022-01-27 00:00:00,MKR/USD,1700.8,1789.9,1650.4,1765.1,48908.046058073,27.70837123
1643155200000,2022-01-26 00:00:00,MKR/USD,1809.4,1884.2,1668.7,1703.7,282354.95349021605,165.73044168
1643068800000,2022-01-25 00:00:00,MKR/USD,1924.2,1943.8,1796.5,1809.5,281713.16753426,155.68564108
1642982400000,2022-01-24 00:00:00,MKR/USD,1833.0,1963.6,1653.6,1925.4,676105.9963283581,351.15092777
1642896000000,2022-01-23 00:00:00,MKR/USD,1798.2,1924.2,1769.7,1832.5,314178.17246242496,171.44784309
